Date;Speed;Density;Bt;Bz
20190731150600;;;7.43;3.88
20190731150601;;;7.42;3.93
20190731150602;;;7.43;3.95
20190731150603;;;7.41;3.99
20190731150604;;;7.41;4.03
20190731150605;;;7.4;3.99
20190731150606;;;7.36;3.96
20190731150607;;;7.34;3.97
20190731150608;;;7.36;4.03
20190731150609;;;7.4;4.07
20190731150610;;;7.45;4.03
20190731150611;;;7.51;4.17
20190731150612;;;7.49;4.15
20190731150613;;;7.44;4.09
20190731150614;;;7.4;4.05
20190731150615;;;7.36;4.05
20190731150616;;;7.38;4.09
20190731150617;;;7.38;4.08
20190731150618;;;7.39;4.05
20190731150619;;;7.47;4.05
20190731150620;;;7.46;4.01
20190731150621;;;7.51;3.98
20190731150622;;;7.55;3.97
20190731150623;;;7.53;3.98
20190731150624;;;7.48;4.01
20190731150625;;;7.51;4.0
20190731150626;;;7.46;3.98
20190731150627;;;7.41;3.97
20190731150628;;;7.5;4.17
20190731150629;;;7.44;4.17
20190731150630;;;7.46;4.22
20190731150631;;;7.44;4.15
20190731150632;;;7.47;4.15
20190731150633;;;7.35;4.07
20190731150634;;;7.39;4.05
20190731150635;;;7.35;4.14
20190731150636;;;7.37;4.24
20190731150637;;;7.38;4.25
20190731150638;;;7.34;4.21
20190731150639;;;7.43;4.38
20190731150640;;;7.32;4.39
20190731150641;;;7.49;4.51
20190731150642;;;7.47;4.46
20190731150643;;;7.52;4.49
20190731150644;;;7.47;4.37
20190731150645;;;7.37;4.33
20190731150646;;;7.39;4.29
20190731150647;;;7.48;4.23
20190731150648;;;7.46;4.24
20190731150649;;;7.46;4.43
20190731150650;;;7.45;4.38
20190731150651;;;7.53;4.47
20190731150652;;;7.41;4.42
20190731150653;;;7.38;4.36
20190731150654;;;7.38;4.27
20190731150655;;;7.46;4.31
20190731150656;;;7.42;4.33
20190731150657;;;7.42;4.36
20190731150658;;;7.39;4.37
20190731150659;;;7.4;4.34
20190731150700;;;7.36;4.2
20190731150701;;;7.43;4.16
20190731150702;;;7.4;4.1
20190731150703;;;7.34;4.04
20190731150704;;;7.42;4.12
20190731150705;;;7.41;4.14
20190731150706;;;7.39;4.05
20190731150707;;;7.36;4.01
20190731150708;;;7.34;4.05
20190731150709;;;7.36;3.97
20190731150710;;;7.36;4.03
20190731150711;;;7.32;4.03
20190731150712;;;7.31;4.0
20190731150713;;;7.39;3.98
20190731150714;;;7.34;4.03
20190731150715;;;7.3;4.08
20190731150716;;;7.29;4.1
20190731150717;;;7.27;4.13
20190731150718;;;7.26;4.1
20190731150719;;;7.25;4.13
20190731150720;;;7.25;4.17
20190731150721;;;7.28;4.27
20190731150722;;;7.3;4.19
20190731150723;;;7.3;4.11
20190731150724;;;7.36;4.1
20190731150725;;;7.42;4.16
20190731150726;;;7.37;4.17
20190731150727;;;7.32;4.17
20190731150728;;;7.3;4.14
20190731150729;;;7.28;4.09
20190731150730;;;7.3;4.1
20190731150731;;;7.36;4.15
20190731150732;;;7.33;4.2
20190731150733;;;7.24;4.1
20190731150734;;;7.23;4.1
20190731150735;;;7.28;4.22
20190731150736;;;7.28;4.28
20190731150737;;;7.31;4.22
20190731150738;;;7.37;4.3
20190731150739;;;7.34;4.31
20190731150740;;;7.31;4.34
20190731150741;;;7.31;4.27
20190731150742;;;7.09;4.15
20190731150743;;;6.96;4.26
20190731150744;;;7.11;4.5
20190731150745;;;7.1;4.6
20190731150746;;;7.21;4.65
20190731150747;;;7.18;4.68
20190731150748;;;7.15;4.51
20190731150749;;;7.14;4.55
20190731150750;;;7.18;4.61
20190731150751;;;7.27;4.73
20190731150752;;;7.35;4.8
20190731150753;;;7.35;4.77
20190731150754;;;7.3;4.68
20190731150755;;;7.2;4.55
20190731150756;;;7.27;4.76
20190731150757;;;7.27;4.71
20190731150758;;;7.29;4.71
20190731150759;;;7.19;4.68
20190731150800;;;7.18;4.6
20190731150801;;;7.23;4.68
20190731150802;;;7.23;4.61
20190731150803;;;7.21;4.62
20190731150804;;;7.29;4.67
20190731150805;;;7.27;4.54
20190731150806;;;7.3;4.63
20190731150807;;;7.39;4.67
20190731150808;;;7.36;4.65
20190731150809;;;7.31;4.66
20190731150810;;;7.32;4.65
20190731150811;;;7.37;4.66
20190731150812;;;7.28;4.6
20190731150813;;;7.35;4.61
20190731150814;;;7.36;4.56
20190731150815;;;7.38;4.56
20190731150816;;;7.44;4.7
20190731150817;;;7.41;4.82
20190731150818;;;7.31;4.76
20190731150819;;;7.28;4.59
20190731150820;;;7.32;4.58
20190731150821;;;7.23;4.53
20190731150822;;;7.22;4.44
20190731150823;;;7.14;4.49
20190731150824;;;7.0;4.39
20190731150825;;;6.98;4.43
20190731150826;;;7.04;4.52
20190731150827;;;7.01;4.47
20190731150828;;;6.97;4.37
20190731150829;;;7.02;4.3
20190731150830;;;7.12;4.33
20190731150831;;;7.09;4.35
20190731150832;;;7.02;4.32
20190731150833;;;6.99;4.23
20190731150834;;;7.03;4.32
20190731150835;;;7.11;4.36
20190731150836;;;6.91;4.29
20190731150837;;;6.97;4.21
20190731150838;;;6.95;4.21
20190731150839;;;6.99;4.25
20190731150840;;;6.94;4.22
20190731150841;;;6.85;4.08
20190731150842;;;7.06;4.33
20190731150843;;;7.18;4.46
20190731150844;;;7.06;4.34
20190731150845;;;6.99;4.3
20190731150846;;;7.13;4.38
20190731150847;;;7.09;4.42
20190731150848;;;6.77;4.31
20190731150849;;;6.8;4.39
20190731150850;;;6.69;4.2
20190731150851;;;6.77;4.32
20190731150852;;;7.08;4.52
20190731150853;;;7.07;4.45
20190731150854;;;7.07;4.41
20190731150855;;;7.14;4.49
20190731150856;;;7.07;4.44
20190731150857;;;7.14;4.51
20190731150858;;;7.09;4.49
20190731150859;;;6.98;4.42
20190731150900;;;6.73;4.29
20190731150901;;;6.71;4.22
20190731150902;;;6.67;4.18
20190731150903;;;6.66;4.2
20190731150904;;;6.64;4.24
20190731150905;;;6.59;4.26
20190731150906;;;6.44;4.1
20190731150907;;;6.3;4.04
20190731150908;;;6.27;4.01
20190731150909;;;6.34;4.05
20190731150910;;;6.57;4.13
20190731150911;;;6.74;4.11
20190731150912;;;6.78;4.22
20190731150913;;;6.82;4.23
20190731150914;;;6.73;4.26
20190731150915;;;6.68;4.2
20190731150916;;;6.72;4.2
20190731150917;;;6.65;4.16
20190731150918;;;6.61;4.25
20190731150919;;;6.6;4.17
20190731150920;;;6.57;4.17
20190731150921;;;6.49;4.18
20190731150922;;;6.55;4.22
20190731150923;;;6.53;4.17
20190731150924;;;6.5;4.17
20190731150925;;;6.68;4.3
20190731150926;;;6.68;4.32
20190731150927;;;6.68;4.34
20190731150928;;;6.68;4.34
20190731150929;;;6.55;4.26
20190731150930;;;6.51;4.18
20190731150931;;;6.43;4.22
20190731150932;;;6.48;4.27
20190731150933;;;6.53;4.24
20190731150934;;;6.61;4.3
20190731150935;;;6.74;4.37
20190731150936;;;6.72;4.38
20190731150937;;;6.69;4.41
20190731150938;;;6.72;4.45
20190731150939;;;6.68;4.39
20190731150940;;;6.73;4.36
20190731150941;;;6.8;4.46
20190731150942;;;6.82;4.51
20190731150943;;;6.69;4.4
20190731150944;;;6.89;4.41
20190731150945;;;6.79;4.3
20190731150946;;;6.51;4.07
20190731150947;;;5.87;3.58
20190731150948;;;4.8;2.87
20190731150949;;;3.82;2.24
20190731150950;;;3.29;2.04
20190731150951;;;3.1;1.95
20190731150952;;;3.13;1.97
20190731150953;;;3.5;2.19
20190731150954;;;4.23;2.7
20190731150955;;;5.18;3.34
20190731150956;;;5.79;3.66
20190731150957;;;6.07;3.87
20190731150958;;;6.35;4.05
20190731150959;;;6.51;4.11
20190731151000;;;6.33;4.06
20190731151001;;;6.22;4.0
20190731151002;;;6.07;3.84
20190731151003;;;6.07;3.86
20190731151004;;;6.1;4.02
20190731151005;;;6.21;4.16
20190731151006;;;6.17;4.18
20190731151007;;;6.09;4.19
20190731151008;;;5.08;3.52
20190731151009;;;4.46;3.0
20190731151010;;;5.47;3.18
20190731151011;;;6.21;3.64
20190731151012;;;6.35;3.74
20190731151013;;;6.3;3.63
20190731151014;;;6.37;3.5
20190731151015;;;6.38;3.47
20190731151016;;;6.33;3.5
20190731151017;;;6.4;3.64
20190731151018;;;6.54;3.58
20190731151019;;;6.48;3.6
20190731151020;;;6.53;3.69
20190731151021;;;6.53;3.62
20190731151022;;;6.5;3.6
20190731151023;;;6.48;3.67
20190731151024;;;6.44;3.64
20190731151025;;;6.34;3.65
20190731151026;;;6.34;3.71
20190731151027;;;6.32;3.64
20190731151028;;;6.21;3.57
20190731151029;;;6.27;3.64
20190731151030;;;6.2;3.52
20190731151031;;;6.18;3.55
20190731151032;;;6.16;3.6
20190731151033;;;6.18;3.6
20190731151034;;;6.13;3.59
20190731151035;;;6.16;3.56
20190731151036;;;6.26;3.52
20190731151037;;;6.4;3.68
20190731151038;;;6.47;3.85
20190731151039;;;6.5;3.8
20190731151040;;;6.61;3.84
20190731151041;;;6.79;3.92
20190731151042;;;6.99;4.09
20190731151043;;;6.7;4.07
20190731151044;;;6.63;4.08
20190731151045;;;6.83;4.22
20190731151046;;;6.75;4.1
20190731151047;;;6.51;4.02
20190731151048;;;6.92;4.0
20190731151049;;;6.81;3.93
20190731151050;;;7.02;4.0
20190731151051;;;7.08;3.61
20190731151052;;;6.77;3.64
20190731151053;;;6.66;3.96
20190731151054;;;6.65;3.89
20190731151055;;;6.34;3.56
20190731151056;;;6.39;3.43
20190731151057;;;6.41;3.63
20190731151058;;;6.21;3.41
20190731151059;;;6.43;3.51
20190731151100;;;6.5;3.63
20190731151101;;;7.04;3.91
20190731151102;;;6.79;3.77
20190731151103;;;6.74;3.77
20190731151104;;;7.11;3.84
20190731151105;;;7.19;3.94
20190731151106;;;7.16;3.86
